2020-01-27 15:48:57 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: dbb86bc3-2ef0-4197-be1c-322633de102a)
2020-01-27 15:48:57 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 8285ac23-01bf-4a50-b5ce-d07136aa9cb5)
2020-01-27 15:48:57 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 72e0bf5d-7421-4665-b018-ce21ba072f09)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 9a6b8b21-6fe0-4394-a864-5138c81fd53a)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 61eabd9d-caed-46cf-b2a6-996da7124078)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: deb3ee8a-9be3-483b-a56f-4639c0a54878)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: cf8ac8f9-6c7d-471e-bcc7-9964db9b740f)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 3fe89741-0d3a-4f0a-aca0-5625f6d6f277)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: aa47f4f9-2d46-4a6d-94bc-d6314e0a2735)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 9b6de030-c649-405d-a31b-2a9802263146)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: a15bbf7f-970e-4806-b985-3e5b4e321c07)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: c5bd2583-e894-40f8-89b1-25eb9e6b27a9)
2020-01-27 15:48:58 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 2f8eaa25-8eb9-4108-b9ea-c8a3c9e677bd)
